iter	Passed	Remaining
0	4	4855
1	9	4728
2	13	4379
3	16	4227
4	20	4106
5	24	3994
6	27	3938
7	31	3887
8	35	3867
9	38	3853
10	42	3834
11	46	3807
12	49	3784
13	53	3763
14	57	3750
15	60	3735
16	64	3735
17	68	3721
18	71	3713
19	75	3709
20	79	3695
21	82	3688
22	86	3680
23	90	3674
24	93	3664
25	97	3654
26	101	3644
27	104	3634
28	108	3628
29	111	3620
30	115	3612
31	119	3607
32	122	3604
33	126	3595
34	130	3586
35	133	3578
36	137	3575
37	141	3572
38	144	3565
39	148	3560
40	152	3555
41	155	3549
42	159	3544
43	162	3540
44	166	3536
45	170	3533
46	174	3534
47	178	3532
48	181	3528
49	185	3525
50	189	3521
51	192	3515
52	196	3511
53	200	3504
54	203	3501
55	207	3494
56	211	3490
57	214	3485
58	218	3481
59	221	3475
60	225	3471
61	229	3465
62	232	3461
63	236	3457
64	240	3453
65	243	3449
66	247	3446
67	251	3442
68	254	3437
69	258	3432
70	262	3433
71	266	3437
72	270	3433
73	274	3430
74	277	3426
75	281	3421
76	285	3418
77	288	3415
78	292	3412
79	296	3408
80	300	3407
81	303	3403
82	307	3399
83	311	3395
84	315	3391
85	318	3387
86	322	3382
87	325	3377
88	329	3373
89	333	3368
90	336	3363
91	340	3359
92	344	3355
93	347	3351
94	351	3347
95	355	3343
96	358	3339
97	362	3334
98	365	3330
99	369	3325
100	373	3321
101	376	3317
102	380	3312
103	384	3309
104	387	3304
105	391	3299
106	394	3295
107	398	3291
108	402	3287
109	405	3282
110	411	3298
111	415	3294
112	419	3291
113	423	3288
114	426	3285
115	430	3281
116	434	3277
117	437	3273
118	441	3269
119	445	3265
120	449	3262
121	452	3258
122	456	3254
123	460	3250
124	463	3247
125	467	3243
126	471	3240
127	475	3236
128	478	3232
129	482	3228
130	486	3225
131	489	3221
132	493	3217
133	497	3214
134	501	3210
135	504	3206
136	508	3202
137	512	3199
138	515	3195
139	519	3192
140	523	3189
141	527	3185
142	530	3181
143	534	3178
144	538	3175
145	542	3171
146	545	3167
147	549	3164
148	553	3160
149	557	3156
150	560	3153
151	564	3150
152	568	3146
153	571	3142
154	575	3138
155	579	3135
156	583	3131
157	586	3127
158	590	3123
159	594	3120
160	598	3117
161	601	3113
162	605	3109
163	609	3105
164	613	3102
165	616	3098
166	620	3094
167	624	3090
168	627	3087
169	631	3083
170	635	3080
171	639	3076
172	642	3072
173	646	3067
174	649	3063
175	653	3059
176	657	3054
177	660	3051
178	665	3050
179	669	3051
180	674	3050
181	677	3045
182	681	3041
183	684	3037
184	688	3033
185	693	3034
186	697	3031
187	701	3027
188	704	3024
189	708	3019
190	711	3014
191	715	3011
192	719	3006
193	722	3002
194	726	2998
195	730	2995
196	733	2991
197	737	2987
198	741	2983
199	744	2979
200	748	2975
201	752	2971
202	755	2967
203	759	2963
204	763	2959
205	767	2959
206	772	2960
207	776	2956
208	779	2950
209	783	2946
210	786	2941
211	790	2937
212	794	2933
213	797	2929
214	801	2925
215	804	2921
216	808	2917
217	813	2916
218	817	2913
219	820	2910
220	824	2906
221	828	2902
222	831	2897
223	835	2894
224	839	2890
225	842	2886
226	846	2882
227	850	2878
228	853	2874
229	857	2870
230	860	2866
231	864	2862
232	868	2858
233	872	2855
234	877	2855
235	882	2857
236	886	2853
237	890	2851
238	894	2847
239	898	2845
240	902	2841
241	905	2837
242	909	2833
243	913	2830
244	917	2826
245	920	2822
246	924	2818
247	928	2815
248	932	2811
249	935	2807
250	939	2803
251	943	2799
252	946	2795
253	950	2791
254	954	2787
255	957	2783
256	961	2779
257	965	2775
258	968	2771
259	972	2767
260	976	2764
261	979	2760
262	984	2757
263	987	2753
264	991	2749
265	995	2745
266	998	2741
267	1002	2738
268	1006	2734
269	1009	2730
270	1013	2726
271	1017	2722
272	1021	2719
273	1024	2715
274	1028	2711
275	1031	2706
276	1035	2702
277	1039	2698
278	1042	2695
279	1046	2691
280	1050	2687
281	1053	2683
282	1057	2679
283	1070	2697
284	1073	2693
285	1076	2688
286	1080	2683
287	1083	2679
288	1087	2675
289	1091	2671
290	1095	2667
291	1098	2664
292	1102	2660
293	1106	2656
294	1109	2652
295	1113	2647
296	1116	2643
297	1120	2639
298	1124	2635
